,Brand,Model,Features,Color,Display_size,belt_size,Prices,MRP,Deal,Offer_percentage
547,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,8999.0,Super Deals,90
548,Fastrack,Magnus,FX1 |35mm UltraVU Display |Working Crow...,Black Strap,35 mm, Free Size,3541.0,11999.0,Upto ₹300 Off on Exchange,40
549,Cellecor,RAY,"1.43"" AMOLED Display | 700 NITS | AOD | BT...",Golden/Orange Strap,1.43, Free Size,1099.0,2999.0,Bank Offer,87
550,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,54999.0,Bank Offer,84
551,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,3999.0,Super Deals,78
552,Samsung,Galaxy,Watch 8 Classic,Black Strap,nan, Large,46999.0,14999.0,Bank Offer,14
553,Cellecor,RUSH,"1.91"" HD Display | 600 NITS | BT-Calling ...",GARNISH/BLUE-GREY Strap,1.91, Free Size,999.0,18999.0,Bank Offer,75
554,Fire-Boltt,Hunter,Nyluxe 51.1mm (2.01) HD Display Bueto...,Midnight Blue Strap,2.01, Free Size,1599.0,11999.0,Bank Offer,89
555,Apple,Watch,Ultra 3 GPS + Cellular 49mm Natural Titaniu...,Anchor Blue Strap,49 mm, Free Size,89900.0,9999.0,Bank Offer,90
556,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Champagne Chain Strap,2.02, Free Size,1849.0,24900.0,Super Deals,89
557,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,4499.0,Bank Offer,47
558,Noise,Origin,"1.46"" AMOLED Display with All New Nebula U...",Midnight Black Strap,1.46, Regular,5299.0,5999.0,Upto ₹300 Off on Exchange,9
559,Apple,Watch,SE 2 GPS 40mm (2nd Gen) Silver Aluminium wi...,Blue Cloud Strap,40 mm, Free Size,22499.0,5999.0,Upto ₹300 Off on Exchange,78
560,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,6999.0,Super Deals,75
561,Noise,Colorfit,Icon 2 1.8'' Display with Bluetooth Call...,Jet Black Strap,1.8, Regular,1099.0,9999.0,Super Deals,81
562,phinix,S9,Ultra Gold Edition With Sports Mode Golden Sm...,Gold Strap,nan, Free Size,763.0,5999.0,Hot Deal,87
563,GOBOULT,(formerly,"Boult) Crown Pro 2.01"", Working Crown...",Phantom Black Strap,2.01, Free Size,1599.0,8499.0,Bank Offer,77
564,Noise,Origin,"1.46"" AMOLED Display with All New Nebula U...",Midnight Black Strap,1.46, Regular,5299.0,9999.0,Upto ₹300 Off on Exchange,47
565,boAt,Storm,"Infinity, 15 Days Huge Battery(550 mAh), Fas...",Sports Black Strap,1.83, Free Size,1449.0,7499.0,Super Deals,75
566,GOBOULT,(formerly,"Boult) Drift+ 1.85"" ,BT Calling, 500N...",Jet Black Strap,1.85, Free Size,999.0,6999.0,Super Deals,88
567,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,4999.0,Super Deals,84
568,TAGG,Verve,"Max Buzz 1.81inch High Res Display, Bluetoot...",Black Strap,1.81, 1.81,1399.0,7999.0,Super Deals,81
569,boAt,Storm,"Infinity Plus, 20 Days BIG Battery, ASAP Cha...",Sports White Strap,1.96, Free Size,1199.0,2995.0,Super Deals,82
570,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,9999.0,Bank Offer,78
571,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,5999.0,Bank Offer,86
572,Fastrack,Revoltt,FS2+|2.01'' Display|Functional Crown|B...,Beige Strap,2.01, Free Size,1628.0,69999.0,Bank Offer,45
573,Noise,Pro,6 Max 1.96'' Amoled Display with AI Watch Fac...,Blue Titanium Strap,1.96, Regular,6999.0,18999.0,Super Deals,30
574,Fastrack,Magnus,FX1 |35mm UltraVU Display |Working Crow...,Black Strap,35 mm, Free Size,3541.0,11999.0,Upto ₹300 Off on Exchange,40
575,Samsung,Galaxy,Watch Ultra LTE,Titanium Gray Strap,nan, Large,33999.0,8999.0,Super Deals,51
576,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,24900.0,Super Deals,90
577,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,7999.0,Super Deals,88
578,Noise,Pro,6 1.85'' Amoled Dispay with A Watch Faces & A...,Ice Blue Strap,1.85, Regular,5499.0,7999.0,Super Deals,38
579,Apple,Watch,SE 2 GPS 40mm (2nd Gen) Silver Aluminium wi...,Blue Cloud Strap,40 mm, Free Size,22499.0,12999.0,Upto ₹300 Off on Exchange,9
580,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,1999.0,Bank Offer,81
581,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,3699.0,Bank Offer,86
582,boAt,Lunar,"Oasis w/TBT Navigation,Dynamic UI,1.43''(3.6...",Active Black Strap,1.43, One Size,3499.0,54999.0,Upto ₹300 Off on Exchange,73
583,Techy,Alpha,"T500 Ultra 1.39"" AMOLED Display With Blueto...",BLACK Strap,1.39, Free size,448.0,11999.0,Lowest price since launch,77
584,TAXTURE,I20,Ultra 8 Watch Bluetooth Call Fitness Bracel...,Multicolor Strap,nan, Free Size,785.0,24999.0,Super Deals,78
585,Samsung,Galaxy,Watch 8 Classic,Black Strap,nan, Large,46999.0,7999.0,Bank Offer,14
586,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,8499.0,Bank Offer,84
587,Fire-Boltt,Oracle,"-, , Play store & Phone Notification ...",Orange Horon Strap,nan, Free Size,2699.0,11999.0,Super Deals,89
588,Noise,Caliber,"3 Plus Metal Edition 1.96"" AMOLED Display...",Elite Silver Strap,1.96, Regular,2499.0,5999.0,Upto ₹300 Off on Exchange,68
589,boAt,Storm,"call 3 w/TBT Navigation,Watch Face Studio,1....",Salmon Peach Strap,1.83, Free Size,1399.0,18999.0,Bank Offer,83
590,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,6999.0,Super Deals,90
591,Noise,Colorfit,Icon 2 1.8'' Display with Bluetooth Call...,Midnight Blue Strap,1.8, Regular,1099.0,59999.0,Super Deals,81
592,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Pink Wave Strap,2.02, Free Size,1749.0,12999.0,Super Deals,90
593,Noise,Loop,1.85'' Display with Advanced Bluetooth Calli...,Green Strap,1.85, Regular,1399.0,11999.0,Upto ₹300 Off on Exchange,80
594,Samsung,Galaxy,Watch 8 Classic,White Strap,nan, Large,50999.0,18999.0,Bank Offer,15
595,alt,"GOAT,","1.78 AMOLED Display, Single Chip Bluetooth Ca...",Green Strap,nan, Free Size,799.0,2995.0,Super Deals,93
596,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,4999.0,Bank Offer,89
597,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Wine Nylon Strap,2.02, Free Size,1749.0,4499.0,Super Deals,90
598,Fastrack,Revoltt,X2 with 1.91'' BT Calling|Rotating Cro...,Blue Strap,1.91, Free Size,1718.0,9999.0,Bank Offer,42
599,GOBOULT,(formerly,"Boult) Crown R with 1.52'' HD Screen,...",Black Strap,1.52, Free Size,1999.0,7999.0,Bank Offer,60
600,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,4495.0,Super Deals,75
601,Fire-Boltt,Ninja,Calling Pro Plus 46.5mm (1.83) Display...,Cinnamon Slate Strap,1.83, Free Size,1049.0,19999.0,Super Deals,89
602,WTG,PF9,"Series 1.39"" AMOLED Display Music & Fitness BT ...",Rose Gold,1.39, Pink Strap,1340.0,2911.0,Super Deals,83
603,Fastrack,FS1,Max|Biggest 1.95'' UltraVU Curve Display|B...,Blue Strap,1.95, Free Size,2399.0,9999.0,Upto ₹300 Off on Exchange,46
604,Lifelong,Bold,Smartwatch For Men Bluetooth Calling 1.32...,Black Strap,1.32, 1.32,1299.0,4999.0,Upto ₹300 Off on Exchange,93
605,Mynz,T10,Ultra Honeycomb Edition smart watch with GAME ...,Black Strap,nan, Free Size,473.0,3499.0,Bank Offer,83
606,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,7499.0,Super Deals,84
607,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,8999.0,Bank Offer,78
608,dicrobots,Ultra,Gold Touch Watch with 25+ New Features ...,gold Strap,nan, 45,623.0,7999.0,Lowest price in the year,82
609,Prowatch,"X,","1.43"" AMOLED, Body Energy, HRV, VO2 Max, Go...",Dark Grey Strap,1.43, 1.43,2689.0,13999.0,Super Deals,64
610,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Grey Strap,1.3, Free Size,1499.0,5999.0,Bank Offer,83
611,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,44900.0,Bank Offer,86
612,boAt,Lunar,"Oasis w/TBT Navigation,Dynamic UI,1.43''(3.6...",Olive Green Strap,1.43, One Size,3799.0,8999.0,Upto ₹300 Off on Exchange,72
613,Avonix,Trendy,"latest Gen9 smartwatch, Golden & Pink str...",Golden,nan, Pink Strap,898.0,12999.0,Super Deals,85
614,Apple,Watch,Series 9 GPS 45mm Aluminium Case with Sport...,Midnight Strap,45 mm, Free Size,43999.0,18999.0,Upto ₹300 Off on Exchange,2
615,Noise,Active,"2 with 1.46'' Hypervision AMOLED Display, ...",Silver Black Strap,1.46, Regular,3041.0,24999.0,Upto ₹300 Off on Exchange,66
616,Fire-Boltt,Rise,"Luxe Bluetooth Calling 47mm (1.85), Met...",Rose Gold Millanese Strap,1.85, Free Size,1149.0,8499.0,Super Deals,91
617,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,11999.0,Super Deals,90
618,Fire-Boltt,Dream,"WristPhone - 4G SIM/LTE/WiFi, Android ...",Midnight Grace Strap,nan, Free Size,4026.0,7999.0,Upto ₹300 Off on Exchange,83
619,boAt,Storm,"call 3 w/TBT Navigation,Watch Face Studio,1....",Salmon Peach Strap,1.83, Free Size,1399.0,12999.0,Bank Offer,83
620,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,6999.0,Super Deals,88
621,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,4199.0,Bank Offer,86
622,alt,Drip,"Max, 2"" HD Display, Single Chip Bluetooth Call...",Black Strap,2, Regular,799.0,3699.0,Super Deals,93
623,Noise,Caliber,"3 Plus 1.96"" AMOLED Display, Functional C...",Black Strap,1.96, Regular,2499.0,7999.0,Upto ₹300 Off on Exchange,64
624,MBS,Microbots,gen 9 diamond edition gold smartwatch wit...,Rose Gold,nan, Light Pink Strap,811.0,11999.0,Lowest price since launch,80
625,TAXTURE,I20,Ultra 8 Watch Bluetooth Call Fitness Bracel...,Multicolor Strap,nan, Free Size,785.0,9999.0,Super Deals,78
626,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,8999.0,Bank Offer,81
627,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,11999.0,Super Deals,90
628,Fire-Boltt,Ring,X 2.01inch HD | Always-On Display | Met...,Blue S Strap,2.01, Free Size,1449.0,2999.0,Super Deals,85
629,boAt,Lunar,"Discovery Pro, 1.39'' HD Display, QR Tray, E...",Cocoa Brown Strap,1.39, Free Size,1399.0,9499.0,Super Deals,84
630,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,6999.0,Bank Offer,84
631,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,6999.0,Super Deals,78
632,boAt,Chrome,"Horizon, 1.51''(3.83cm) AMOLED Display, Vid...",Royal Blue Strap,1.51, Free Size,3299.0,18999.0,Bank Offer,65
633,Apple,Watch,Series 11 GPS 42mm Jet Black Aluminium Case...,Black Strap,42 mm, Small/Medium,46900.0,11999.0,Bank Offer,77
634,Noise,Icon,2 Elite Edition 1.8'' Display with Metallic ...,Elite Gold Strap,1.8, Regular,1549.0,2995.0,Super Deals,82
635,boAt,Storm,"Infinity Plus, 20 Days BIG Battery, ASAP Cha...",Sports White Strap,1.96, Free Size,1199.0,59999.0,Super Deals,90
636,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Champagne Chain Strap,2.02, Free Size,1849.0,8397.0,Super Deals,89
637,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,8397.0,Bank Offer,45
638,Fastrack,Revoltt,FS2+|2.01'' Display|Functional Crown|B...,Beige Strap,2.01, Free Size,1628.0,8397.0,Bank Offer,15
639,Samsung,Galaxy,Watch 8 Classic,White Strap,nan, Large,50999.0,8397.0,Bank Offer,78
